0,1,2,3,4
$RQOBS,000000.0610,39161,3745,*4D
$RQOBS,000000.1234,39224,3938,*48
$RQOBS,000000.1347,39308,4110,*47
$RQOBS,000000.1460,39426,3920,*42
$RQOBS,000000.1573,39400,3669,*47
$RQOBS,000000.1687,39231,3609,*4D
$RQOBS,000000.1800,39279,3644,*49
$RQOBS,000000.1913,39160,3640,*45
$RQOBS,000000.2026,39215,3737,*49
$RQOBS,000000.2140,39411,3882,*4B
$RQOBS,000000.2253,39334,3857,*42
$RQOBS,000000.2366,39336,3972,*41
$RQOBS,000000.2479,39418,4128,*43
$RQOBS,000000.2592,39232,3982,*46
$RQOBS,000000.2706,39211,3903,*41
$RQOBS,000000.2819,39478,3797,*4A
$RQOBS,000000.2932,39524,3626,*41
$RQOBS,000000.3045,39401,3715,*4E
$RQOBS,000000.3159,39226,3795,*49
$RQOBS,000000.3272,39201,3917,*42
$RQOBS,000000.3385,39351,3889,*49
$RQOBS,000000.3498,39376,3686,*46
$RQOBS,000000.3611,39268,3703,*47
$RQOBS,000000.3725,39132,3578,*43
$RQOBS,000000.3838,39045,3478,*40
$RQOBS,000000.3951,39252,3778,*49
$RQOBS,000000.4064,39400,3765,*4C
$RQOBS,000000.4178,39466,3650,*47
$RQOBS,000000.4291,39342,3612,*44
$RQOBS,000000.4404,39297,3570,*40
$RQOBS,000000.4517,39410,3790,*46
$RQOBS,000000.4630,39275,3799,*4C
$RQOBS,000000.4744,39125,3718,*41
$RQOBS,000000.4857,39192,3838,*4D
$RQOBS,000000.4970,39271,3798,*42
$RQOBS,000000.5083,39234,3847,*4A
$RQOBS,000000.5197,39235,3707,*44
$RQOBS,000000.5310,39303,3673,*4F
$RQOBS,000000.5423,39360,3843,*40
$RQOBS,000000.5536,39357,3928,*4D
$RQOBS,000000.5649,39335,3828,*43
$RQOBS,000000.5763,39309,3675,*43
$RQOBS,000000.5876,39334,3810,*4B
$RQOBS,000000.5989,39301,3797,*4C
$RQOBS,000000.6102,39356,3753,*4E
$RQOBS,000000.6216,39323,3848,*4F
$RQOBS,000000.6329,39267,3822,*4F
$RQOBS,000000.6442,39408,3865,*49
$RQOBS,000000.6555,39455,3766,*4A
$RQOBS,000000.6669,39356,3664,*41
$RQOBS,000000.6782,39242,3817,*4B
$RQOBS,000000.6895,39129,3761,*42
$RQOBS,000000.7008,39251,3503,*45
$RQOBS,000000.7121,39288,3465,*4A
$RQOBS,000000.7235,39264,3759,*42
$RQOBS,000000.7348,39324,3721,*43
$RQOBS,000000.7461,39365,3627,*4D
$RQOBS,000000.7574,39261,3770,*4E
$RQOBS,000000.7687,39296,3728,*44
$RQOBS,000000.7801,39280,3595,*47
$RQOBS,000000.7914,39082,3712,*4F
$RQOBS,000000.8030,39037,3914,*49
$RQOBS,000000.8146,39099,3790,*4F
$RQOBS,000000.8262,39257,3836,*49
$RQOBS,000000.8378,39269,4012,*47
$RQOBS,000000.8494,39200,3924,*46
$RQOBS,000000.8610,39174,3999,*4E
$RQOBS,000000.8726,39261,3934,*4A
$RQOBS,000000.8842,39207,3846,*43
$RQOBS,000000.8958,39226,3919,*41
$RQOBS,000000.9074,39286,3906,*43
$RQOBS,000000.9190,39299,3758,*43
$RQOBS,000000.9306,39364,3751,*44
$RQOBS,000000.9421,39368,3859,*4D
$RQOBS,000000.9538,39271,3732,*4F
$RQOBS,000000.9653,39342,3604,*44
$RQOBS,000000.9769,39331,3741,*48
$RQOBS,000000.9885,39242,3789,*44
$RQOBS,000001.0001,39298,3761,*49
$RQOBS,000001.0117,39219,3686,*4E
$RQOBS,000001.0233,39196,3657,*43
$RQOBS,000001.0349,39138,3510,*4B
$RQOBS,000001.0465,39292,3656,*40
$RQOBS,000001.0581,39295,3848,*4D
$RQOBS,000001.0697,39348,3903,*46
$RQOBS,000001.0813,39322,3747,*46
$RQOBS,000001.0929,39233,3632,*4C
$RQOBS,000001.1045,39290,3571,*43
$RQOBS,000001.1161,39340,3533,*4E
$RQOBS,000001.1277,39404,3459,*40
$RQOBS,000001.1393,39356,3590,*4F
$RQOBS,000001.1509,39240,3768,*49
$RQOBS,000001.1625,39351,3737,*4F
$RQOBS,000001.1741,39480,3703,*40
$RQOBS,000001.1857,39379,3748,*46
$RQOBS,000001.1973,39367,3647,*40
$RQOBS,000001.2089,39301,3528,*45
$RQOBS,000001.2205,39298,3719,*42
$RQOBS,000001.2321,39426,3779,*40
$RQOBS,000001.2437,39457,3769,*47
$RQOBS,000001.2553,39334,3717,*4F
$RQOBS,000001.2669,39121,3754,*44
$RQOBS,000001.2785,39091,3567,*4F
$RQOBS,000001.2901,39310,3679,*4B
$RQOBS,000001.3017,39397,3659,*49
$RQOBS,000001.3133,39486,3583,*4D
$RQOBS,000001.3249,39310,3626,*47
$RQOBS,000001.3365,39321,3782,*45
$RQOBS,000001.3481,39364,3903,*4E
$RQOBS,000001.3597,39301,3786,*48
$RQOBS,000001.3713,39350,3532,*4F
$RQOBS,000001.3829,39420,3598,*49
$RQOBS,000001.3945,39372,3459,*4E
$RQOBS,000001.4061,39257,3437,*48
$RQOBS,000001.4176,39363,3634,*48
$RQOBS,000001.4292,39356,3605,*45
$RQOBS,000001.4408,39183,3661,*48
$RQOBS,000001.4524,39201,3827,*42
$RQOBS,000001.4640,39278,3772,*42
$RQOBS,000001.4756,39251,3674,*48
$RQOBS,000001.4872,39261,3667,*40
$RQOBS,000001.4988,39276,3719,*4A
$RQOBS,000001.5104,39382,3701,*44
$RQOBS,000001.5220,39268,3592,*4C
$RQOBS,000001.5336,39209,3680,*4D
$RQOBS,000001.5452,39248,3710,*45
$RQOBS,000001.5568,39255,3692,*4A
$RQOBS,000001.5684,39209,3657,*4B
$RQOBS,000001.5800,39281,3682,*41
$RQOBS,000001.5916,39429,3564,*48
$RQOBS,000001.6032,39484,3673,*46
$RQOBS,000001.6148,39322,3668,*4B
$RQOBS,000001.6264,39342,3569,*42
$RQOBS,000001.6380,39354,3759,*4F
$RQOBS,000001.6496,39279,3733,*4D
$RQOBS,000001.6612,39241,3701,*49
$RQOBS,000001.6728,39227,3746,*42
$RQOBS,000001.6844,39290,3699,*48
$RQOBS,000001.6960,39474,3559,*4C
$RQOBS,000001.7076,39437,3432,*48
$RQOBS,000001.7192,39397,3586,*40
$RQOBS,000001.7308,39346,3631,*42
$RQOBS,000001.7424,39351,3690,*46
$RQOBS,000001.7540,39251,3613,*4F
$RQOBS,000001.7656,39231,3603,*4C
$RQOBS,000001.7772,39281,3757,*40
$RQOBS,000001.7888,39205,3780,*4C
$RQOBS,000001.8004,39207,3709,*4C
$RQOBS,000001.8120,39290,3591,*46
$RQOBS,000001.8236,39464,3490,*4F
$RQOBS,000001.8351,39360,3398,*43
$RQOBS,000001.8467,39144,3526,*46
$RQOBS,000001.8583,39276,3590,*42
$RQOBS,000001.8699,39372,3493,*4D
$RQOBS,000001.8815,39362,3413,*4E
$RQOBS,000001.8931,39343,3419,*40
$RQOBS,000001.9047,39370,3664,*41
$RQOBS,000001.9163,39296,3632,*4C
$RQOBS,000001.9279,39250,3560,*4A
$RQOBS,000001.9395,39318,3664,*43
$RQOBS,000001.9511,39442,3618,*4A
$RQOBS,000001.9627,39353,3540,*45
$RQOBS,000001.9743,39379,3525,*4D
$RQOBS,000001.9859,39358,3604,*4A
$RQOBS,000001.9975,39330,3833,*41
$RQOBS,000002.0091,39328,3739,*44
$RQOBS,000002.0207,39360,3542,*4B
$RQOBS,000002.0323,39271,3525,*4C
$RQOBS,000002.0439,39258,3309,*43
$RQOBS,000002.0555,39327,3352,*4F
$RQOBS,000002.0671,39304,3552,*4D
$RQOBS,000002.0787,39336,3548,*4F
$RQOBS,000002.0903,39369,3734,*4E
$RQOBS,000002.1019,39345,3699,*45
$RQOBS,000002.1135,39260,3506,*49
$RQOBS,000002.1251,39165,3507,*4F
$RQOBS,000002.1367,39190,3440,*43
$RQOBS,000002.1483,39298,3481,*48
$RQOBS,000002.1599,39265,3495,*45
$RQOBS,000002.1715,39293,3640,*40
$RQOBS,000002.1831,39325,3822,*4F
$RQOBS,000002.1947,39328,3548,*43
$RQOBS,000002.2063,39354,3439,*43
$RQOBS,000002.2179,39466,3552,*43
$RQOBS,000002.2295,39442,3588,*43
$RQOBS,000002.2411,39143,3691,*46
$RQOBS,000002.2527,39091,3412,*45
$RQOBS,000002.2643,39223,3317,*4D
$RQOBS,000002.2758,39276,3719,*4C
$RQOBS,000002.2874,39298,3779,*4B
$RQOBS,000002.2991,39242,3665,*4A
$RQOBS,000002.3106,39286,3601,*47
$RQOBS,000002.3222,39374,3365,*49
$RQOBS,000002.3338,39215,3424,*47
$RQOBS,000002.3454,39260,3699,*4C
$RQOBS,000002.3570,39312,3696,*40
$RQOBS,000002.3686,39332,3554,*45
$RQOBS,000002.3802,39322,3387,*4E
$RQOBS,000002.3918,39297,3429,*48
$RQOBS,000002.4034,39318,3415,*41
$RQOBS,000002.4150,39398,3590,*46
$RQOBS,000002.4266,39412,3604,*4B
$RQOBS,000002.4382,39352,3593,*4E
$RQOBS,000002.4498,39352,3476,*48
$RQOBS,000002.4614,39354,3674,*48
$RQOBS,000002.4730,39259,3553,*45
$RQOBS,000002.4846,39156,3492,*4B
$RQOBS,000002.4962,39116,3575,*40
$RQOBS,000002.5078,39231,3460,*40
$RQOBS,000002.5194,39340,3602,*42
$RQOBS,000002.5310,39506,3688,*4A
$RQOBS,000002.5426,39382,3601,*43
$RQOBS,000002.5542,39253,3629,*47
$RQOBS,000002.5658,39224,3529,*4C
$RQOBS,000002.5774,39125,3470,*4C
$RQOBS,000002.5890,39209,3283,*4E
$RQOBS,000002.6006,39358,3351,*41
$RQOBS,000002.6122,39380,3611,*42
$RQOBS,000002.6238,39340,3559,*49
$RQOBS,000002.6354,39252,3423,*4C
$RQOBS,000002.6470,39246,3584,*44
$RQOBS,000002.6586,39280,3491,*43
$RQOBS,000002.6702,39341,3476,*48
$RQOBS,000002.6818,39143,3592,*47
$RQOBS,000002.6935,39161,3726,*44
$RQOBS,000002.7050,39235,3608,*40
$RQOBS,000002.7166,39351,3519,*44
$RQOBS,000002.7282,39447,3577,*45
$RQOBS,000002.7398,39380,3513,*41
$RQOBS,000002.7513,39344,3446,*4D
$RQOBS,000002.7629,39343,3448,*4E
$RQOBS,000002.7745,39272,3431,*48
$RQOBS,000002.7861,39313,3333,*42
$RQOBS,000002.7977,39309,3478,*47
$RQOBS,000002.8093,39254,3490,*44
$RQOBS,000002.8209,39178,3491,*49
$RQOBS,000002.8325,39219,3570,*4C
$RQOBS,000002.8441,39243,3542,*47
$RQOBS,000002.8557,39279,3638,*46
$RQOBS,000002.8673,39363,3552,*46
$RQOBS,000002.8789,39223,3533,*40
$RQOBS,000002.8905,39315,3584,*42
$RQOBS,000002.9021,39355,3519,*4C
$RQOBS,000002.9137,39359,3381,*41
$RQOBS,000002.9253,39245,3297,*4A
$RQOBS,000002.9369,39174,3498,*4A
$RQOBS,000002.9485,39212,3819,*49
$RQOBS,000002.9601,39195,3838,*48
$RQOBS,000002.9717,39283,3496,*42
$RQOBS,000002.9833,39152,3371,*4A
$RQOBS,000002.9949,39226,3477,*47
$RQOBS,000003.0065,39294,3371,*40
$RQOBS,000003.0181,39318,3324,*4E
$RQOBS,000003.0297,39213,3426,*45
$RQOBS,000003.0413,39298,3571,*4F
$RQOBS,000003.0529,39199,3563,*46
