"Schub_x","Schub_y"
0.0611,-198.3902,
0.1235,-205.9467,
0.1348,-211.5601,
0.1462,-197.7425,
0.1575,-175.9366,
0.1688,-151.324,
0.1802,-170.1073,
0.1915,-187.8111,
0.2028,-197.3107,
0.2142,-248.479,
0.2255,-194.504,
0.2368,-218.4689,
0.2482,-233.1501,
0.2595,-201.1969,
0.2708,-216.7417,
0.2822,-199.9015,
0.2935,-233.5819,
0.3048,-140.529,
0.3162,-209.617,
0.3275,-203.3559,
0.3389,-129.5181,
0.3502,-291.659,
0.3615,-123.0411,
0.3729,-220.412,
0.3842,-181.3341,
0.3955,-152.4035,
0.4069,-281.0799,
0.4182,-148.0855,
0.4295,-252.1493,
0.4409,-136.211,
0.4522,-160.1759,
0.4635,-210.0488,
0.4749,-106.6327,
0.4862,-276.7619,
0.4975,-135.5633,
0.5089,-233.366,
0.5202,-206.8103,
0.5316,-153.2671,
0.5429,-264.6715,
0.5542,-120.6662,
0.5656,-285.8297,
0.5769,-169.4596,
0.5882,-183.4931,
0.5996,-239.843,
0.6109,-106.6327,
0.6222,-242.8656,
0.6336,-107.7122,
0.6449,-191.0496,
0.6562,-171.8345,
0.6676,-96.9172,
0.6789,-180.0387,
0.6903,-17.6819,
0.7016,-168.8119,
0.7129,-38.6242,
0.7243,-51.3623,
0.7356,-86.554,
0.7469,75.1551,
0.7583,-69.0661,
0.7696,91.7794,
0.7809,29.3843,
0.7924,29.6002,
0.804,50.5425,
0.8157,-103.826,
0.8273,19.6688,
0.8389,-104.0419,
0.8505,8.2261,
0.8621,-40.3514,
0.8737,-143.7675,
0.8853,-11.6367,
0.8969,-162.7667,
0.9085,14.7031,
0.9202,-88.713,
0.9318,-118.5072,
0.9434,-12.5003,
0.955,-121.5298,
0.9666,43.4178,
0.9782,-154.5625,
0.9898,-104.4737,
1.0014,-119.8026,
1.013,-186.2998,
1.0247,-58.0552,
1.0363,-249.1267,
1.0479,-83.3155,
1.0595,-148.5173,
1.0711,-110.9507,
1.0827,-71.2251,
1.0943,-210.2647,
1.1059,-56.9757,
1.1176,-201.8446,
1.1292,-110.0871,
1.1408,-121.9616,
1.1524,-162.9826,
1.164,2.8286,
1.1756,-153.6989,
1.1872,-49.4192,
1.1988,-152.1876,
1.2105,-103.6101,
1.2221,-31.4995,
1.2337,-150.0286,
1.2453,-6.4551,
1.257,-198.3902,
1.2685,-134.4838,
1.2801,-95.19,
1.2917,-154.3466,
1.3033,-4.0802,
1.315,-173.1299,
1.3266,-20.9204,
1.3382,-117.6436,
1.3498,-149.5968,
1.3614,-49.4192,
1.373,-185.6521,
1.3846,-40.1355,
1.3962,-183.4931,
1.4078,-73.6,
1.4195,-71.441,
1.4311,-166.2211,
1.4427,-33.0108,
1.4543,-174.2094,
1.4659,-21.3522,
1.4775,-111.1666,
1.4891,-106.4168,
1.5008,-36.897,
1.5123,-177.8797,
1.524,-5.3756,
1.5356,-132.5407,
1.5472,-81.5883,
1.5588,-50.7146,
1.5704,-142.9039,
1.582,-8.83,
1.5936,-207.458,
1.6052,-66.0435,
1.6169,-96.0536,
1.6285,-107.9281,
1.6401,-26.9656,
1.6517,-173.3458,
1.6633,-40.7832,
1.6749,-178.3115,
1.6865,-120.4503,
1.6981,-131.4612,
1.7097,-205.5149,
1.7214,-64.1004,
1.7331,-201.6287,
1.7446,-64.7481,
1.7562,-129.3022,
1.7678,-142.2562,
1.7794,-31.0677,
1.791,-211.5601,
1.8026,29.8161,
